instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
6.2.d;15.0;64;2;168.0;0.0219
6.2.e;17.5;64;2;288.0;0.0516
6.2.f;20.0;64;2;564.0;0.0497
6.2.g;22.5;64;2;648.0;0.068
6.2.h;25.0;64;2;648.0;0.0547
6.2.i;27.5;64;2;648.0;0.0988
6.2.j;30.0;64;2;840.0;0.0808
6.2.k;32.5;64;2;840.0;0.0827
6.2.l;35.0;64;2;840.0;0.0836
6.2.m;37.5;64;2;840.0;0.0834
6.2.n;40.0;64;2;840.0;0.0912
6.3.g;15.0;64;3;252.0;0.0193
6.3.h;16.7;64;3;420.0;0.0469
6.3.i;18.3;64;3;594.0;0.0543
6.3.j;20.0;64;3;786.0;0.0679
6.3.k;21.7;64;3;840.0;0.0709
6.3.l;23.3;64;3;858.0;0.0641
6.3.m;25.0;64;3;858.0;0.0723
6.3.n;26.7;64;3;858.0;0.065
6.4.j;15.0;64;4;336.0;0.0192
6.4.k;16.2;64;4;372.0;0.036
6.4.l;17.5;64;4;540.0;0.0488
6.4.m;18.8;64;4;864.0;0.0478
6.4.n;20.0;64;4;1008.0;0.0636
