instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution;wmax
Set_32_234/p1.2.a;2.5;32;2;0.0;0.0;0
Set_32_234/p1.2.b;5.0;32;2;15.0;0.0;1
Set_32_234/p1.2.c;7.5;32;2;20.0;0.002;1
Set_32_234/p1.2.d;10.0;32;2;30.0;0.0149;2
Set_32_234/p1.2.e;12.5;32;2;40.0;0.0978;3
Set_32_234/p1.2.f;15.0;32;2;70.0;0.2713;4
Set_32_234/p1.2.g;17.5;32;2;85.0;0.7821;3
Set_32_234/p1.2.h;20.0;32;2;110.0;1.2973;7
Set_32_234/p1.3.a;1.7;32;3;0.0;0.001;0
Set_32_234/p1.3.b;3.3;32;3;0.0;0.0;0
Set_32_234/p1.3.c;5.0;32;3;15.0;0.001;1
Set_32_234/p1.3.d;6.7;32;3;15.0;0.0011;1
Set_32_234/p1.3.e;8.3;32;3;30.0;0.0081;1
Set_32_234/p1.3.f;10.0;32;3;40.0;0.018;2
Set_32_234/p1.3.g;11.7;32;3;50.0;0.0487;3
Set_32_234/p1.3.h;13.3;32;3;60.0;0.1446;3
Set_32_234/p1.4.a;1.2;32;4;0.0;0.0;0
Set_32_234/p1.4.b;2.5;32;4;0.0;0.0;0
Set_32_234/p1.4.c;3.8;32;4;0.0;0.0;0
Set_32_234/p1.4.d;5.0;32;4;15.0;0.001;1
Set_32_234/p1.4.e;6.2;32;4;15.0;0.0021;1
Set_32_234/p1.4.f;7.5;32;4;25.0;0.006;1
Set_32_234/p1.4.g;8.8;32;4;35.0;0.0089;1
Set_32_234/p1.4.h;10.0;32;4;45.0;0.0141;1
Set_21_234/p2.2.a;7.5;21;2;85.0;0.0376;3
Set_21_234/p2.2.b;10.0;21;2;120.0;0.0831;3
Set_21_234/p2.2.c;11.5;21;2;125.0;0.2056;3
Set_21_234/p2.2.d;12.5;21;2;140.0;0.2642;2
Set_21_234/p2.2.e;13.5;21;2;180.0;0.2807;7
Set_21_234/p2.2.f;15.0;21;2;180.0;0.3435;3
Set_21_234/p2.2.g;16.0;21;2;180.0;0.3657;3
Set_21_234/p2.2.h;17.5;21;2;200.0;0.5777;1
Set_21_234/p2.3.a;5.0;21;3;70.0;0.0069;1
Set_21_234/p2.3.b;6.7;21;3;70.0;0.014;1
Set_21_234/p2.3.c;7.7;21;3;105.0;0.044;2
Set_21_234/p2.3.d;8.3;21;3;105.0;0.0483;2
Set_21_234/p2.3.e;9.0;21;3;120.0;0.069;1
Set_21_234/p2.3.f;10.0;21;3;120.0;0.0936;1
Set_21_234/p2.3.g;10.7;21;3;140.0;0.1597;3
Set_21_234/p2.3.h;11.7;21;3;145.0;0.2295;2
Set_21_234/p2.4.a;3.8;21;4;10.0;0.0;1
