instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_32_234/p1.2.b;5.0;32;2;15.0;0.0021
Set_32_234/p1.2.c;7.5;32;2;15.0;0.0021
Set_32_234/p1.2.d;10.0;32;2;20.0;0.0074
Set_32_234/p1.2.e;12.5;32;2;25.0;0.0251
Set_32_234/p1.2.f;15.0;32;2;25.0;0.0339
Set_32_234/p1.2.g;17.5;32;2;30.0;0.0639
Set_32_234/p1.2.h;20.0;32;2;30.0;0.0717
Set_32_234/p1.2.i;23.0;32;2;30.0;0.0772
Set_32_234/p1.2.j;25.0;32;2;30.0;0.0933
Set_32_234/p1.2.k;27.5;32;2;30.0;0.0846
Set_32_234/p1.2.l;30.0;32;2;30.0;0.0884
Set_32_234/p1.2.m;32.5;32;2;30.0;0.0844
Set_32_234/p1.2.n;35.0;32;2;30.0;0.0834
Set_32_234/p1.2.o;36.5;32;2;30.0;0.0828
Set_32_234/p1.2.p;37.5;32;2;30.0;0.0866
Set_32_234/p1.2.q;40.0;32;2;30.0;0.0866
Set_32_234/p1.2.r;42.5;32;2;30.0;0.1021
Set_32_234/p1.3.c;5.0;32;3;15.0;0.003
Set_32_234/p1.3.d;6.7;32;3;15.0;0.0025
Set_32_234/p1.3.e;8.3;32;3;25.0;0.008
Set_32_234/p1.3.f;10.0;32;3;25.0;0.0103
Set_32_234/p1.3.g;11.7;32;3;30.0;0.0205
Set_32_234/p1.3.h;13.3;32;3;35.0;0.0351
Set_32_234/p1.3.i;15.3;32;3;40.0;0.0529
Set_32_234/p1.3.j;16.7;32;3;40.0;0.0631
Set_32_234/p1.3.k;18.3;32;3;40.0;0.064
Set_32_234/p1.3.l;20.0;32;3;45.0;0.0856
Set_32_234/p1.3.m;21.7;32;3;45.0;0.0871
Set_32_234/p1.3.n;23.3;32;3;45.0;0.0803
Set_32_234/p1.3.o;24.3;32;3;45.0;0.0831
Set_32_234/p1.3.p;25.0;32;3;45.0;0.0855
Set_32_234/p1.3.q;26.7;32;3;45.0;0.0849
Set_32_234/p1.3.r;28.3;32;3;45.0;0.084
Set_32_234/p1.4.d;5.0;32;4;15.0;0.001
Set_32_234/p1.4.e;6.2;32;4;15.0;0.0011
Set_32_234/p1.4.f;7.5;32;4;25.0;0.002
Set_32_234/p1.4.g;8.8;32;4;30.0;0.0051
Set_32_234/p1.4.h;10.0;32;4;30.0;0.0059
Set_32_234/p1.4.i;11.5;32;4;40.0;0.0135
Set_32_234/p1.4.j;12.5;32;4;45.0;0.0279
Set_32_234/p1.4.k;13.8;32;4;45.0;0.0271
Set_32_234/p1.4.l;15.0;32;4;45.0;0.0293
Set_32_234/p1.4.m;16.2;32;4;50.0;0.063
Set_32_234/p1.4.n;17.5;32;4;50.0;0.0582
Set_32_234/p1.4.o;18.2;32;4;50.0;0.0585
Set_32_234/p1.4.p;18.8;32;4;50.0;0.0585
Set_32_234/p1.4.q;20.0;32;4;55.0;0.0777
Set_32_234/p1.4.r;21.2;32;4;60.0;0.0847
Set_21_234/p2.2.a;7.5;21;2;45.0;0.0051
Set_21_234/p2.2.b;10.0;21;2;45.0;0.006
Set_21_234/p2.2.c;11.5;21;2;45.0;0.0113
Set_21_234/p2.2.d;12.5;21;2;45.0;0.0123
Set_21_234/p2.2.e;13.5;21;2;45.0;0.0233
