instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
p1.2.a;2.5;32;2;0.0;0.0
p1.2.b;5.0;32;2;15.0;0.0
p1.2.c;7.5;32;2;20.0;0.0
p1.2.d;10.0;32;2;30.0;0.0077
p1.2.e;12.5;32;2;40.0;0.0537
p1.2.f;15.0;32;2;80.0;0.1006
p1.2.g;17.5;32;2;85.0;0.2621
p1.2.h;20.0;32;2;110.0;0.467
p1.2.i;23.0;32;2;110.0;1.0955
p1.2.j;25.0;32;2;140.0;1.3777
p1.2.k;27.5;32;2;160.0;2.698
p1.2.l;30.0;32;2;180.0;3.7063
p1.2.m;32.5;32;2;180.0;4.2827
p1.2.n;35.0;32;2;225.0;5.3301
p1.2.o;36.5;32;2;230.0;5.7958
p1.2.p;37.5;32;2;230.0;6.0432
p1.2.q;40.0;32;2;235.0;6.6079
p1.2.r;42.5;32;2;235.0;8.8793
p1.3.a;1.7;32;3;0.0;0.0
p1.3.b;3.3;32;3;0.0;0.0
p1.3.c;5.0;32;3;15.0;0.0
p1.3.d;6.7;32;3;15.0;0.0
p1.3.e;8.3;32;3;30.0;0.0045
p1.3.f;10.0;32;3;40.0;0.0085
p1.3.g;11.7;32;3;50.0;0.0321
p1.3.h;13.3;32;3;60.0;0.3327
p1.3.i;15.3;32;3;85.0;0.5428
p1.3.j;16.7;32;3;110.0;0.4244
p1.3.k;18.3;32;3;125.0;0.5637
p1.3.l;20.0;32;3;145.0;0.908
p1.3.m;21.7;32;3;165.0;1.4337
p1.3.n;23.3;32;3;175.0;1.7773
p1.3.o;24.3;32;3;190.0;1.7487
p1.3.p;25.0;32;3;190.0;2.3714
p1.3.q;26.7;32;3;205.0;2.5658
p1.3.r;28.3;32;3;220.0;3.9049
p1.4.a;1.2;32;4;0.0;0.0
p1.4.b;2.5;32;4;0.0;0.0
p1.4.c;3.8;32;4;0.0;0.0
p1.4.d;5.0;32;4;15.0;0.0
p1.4.e;6.2;32;4;15.0;0.0
p1.4.f;7.5;32;4;25.0;0.0
p1.4.g;8.8;32;4;35.0;0.0164
p1.4.h;10.0;32;4;45.0;0.0092
p1.4.i;11.5;32;4;60.0;0.029
p1.4.j;12.5;32;4;70.0;0.0696
p1.4.k;13.8;32;4;90.0;0.0957
p1.4.l;15.0;32;4;120.0;0.1729
p1.4.m;16.2;32;4;130.0;0.3288
p1.4.n;17.5;32;4;135.0;0.4482
p1.4.o;18.2;32;4;145.0;0.5212
p1.4.p;18.8;32;4;155.0;0.7101
p1.4.q;20.0;32;4;170.0;1.356
p1.4.r;21.2;32;4;195.0;1.6487
