instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution;wmax
p1.2.a;2.5;66;2;0.0;0.0;0
p1.2.b;5.0;66;2;20.0;0.005;1
p1.2.c;7.5;66;2;50.0;0.0548;2
p1.2.d;10.0;66;2;80.0;0.1535;4
p1.2.e;12.5;66;2;180.0;1.3262;2
p1.2.f;15.0;66;2;195.0;2.306;2
p1.2.g;17.5;66;2;320.0;7.3175;4
p1.2.h;20.0;66;2;410.0;11.3023;4
p1.2.i;22.5;66;2;465.0;23.3151;2
p1.2.j;25.0;66;2;560.0;24.2376;9
p1.2.k;27.5;66;2;670.0;36.8288;1
p1.2.l;30.0;66;2;770.0;40.3585;3
p1.2.m;32.5;66;2;860.0;62.9305;1
p1.2.n;35.0;66;2;815.0;49.8554;1
p1.2.o;37.5;66;2;900.0;67.6064;1
p1.2.p;40.0;66;2;1150.0;69.243;1
p1.2.q;42.5;66;2;1195.0;101.9715;4
p1.2.r;45.0;66;2;1060.0;99.595;1
p1.3.a;1.7;66;3;0.0;0.0;0
p1.3.b;3.3;66;3;15.0;0.0021;1
p1.3.c;5.0;66;3;20.0;0.004;1
p1.3.d;6.7;66;3;50.0;0.0427;1
p1.3.e;8.3;66;3;95.0;0.0998;2
p1.3.f;10.0;66;3;110.0;0.1775;2
p1.3.g;11.7;66;3;175.0;0.9211;2
p1.3.h;13.3;66;3;260.0;1.6538;1
p1.3.i;15.0;66;3;310.0;4.2012;2
p1.3.j;16.7;66;3;470.0;7.5455;2
p1.3.k;18.3;66;3;455.0;9.6123;2
p1.3.l;20.0;66;3;595.0;15.8225;5
p1.3.m;21.7;66;3;650.0;17.8957;3
p1.3.n;23.3;66;3;755.0;25.546;4
p1.3.o;25.0;66;3;830.0;26.8522;9
p1.3.p;26.7;66;3;990.0;35.0116;1
p1.3.q;28.3;66;3;985.0;44.8509;5
p1.3.r;30.0;66;3;1010.0;71.3456;7
p1.4.a;1.2;66;4;0.0;0.0;0
p1.4.b;2.5;66;4;0.0;0.0;0
p1.4.c;3.8;66;4;20.0;0.005;1
p1.4.d;5.0;66;4;20.0;0.0045;1
p1.4.e;6.2;66;4;20.0;0.006;1
p1.4.f;7.5;66;4;80.0;0.0685;1
p1.4.g;8.8;66;4;140.0;0.1791;2
p1.4.h;10.0;66;4;140.0;0.2131;1
p1.4.i;11.2;66;4;240.0;0.7886;2
p1.4.j;12.5;66;4;340.0;1.9289;2
p1.4.k;13.8;66;4;340.0;1.9655;1
p1.4.l;15.0;66;4;390.0;4.8526;3
p1.4.m;16.2;66;4;530.0;13.4177;2
p1.4.n;17.5;66;4;620.0;15.4075;2
p1.4.o;18.8;66;4;650.0;13.2776;2
p1.4.p;20.0;66;4;740.0;26.0506;2
p1.4.q;21.2;66;4;860.0;30.1972;2
p1.4.r;22.5;66;4;905.0;28.7138;2
