instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_32_234/p1.2.b;5.0;32;2;15.0;0.001
Set_32_234/p1.2.c;7.5;32;2;20.0;0.001
Set_32_234/p1.2.d;10.0;32;2;30.0;0.002
Set_32_234/p1.2.e;12.5;32;2;40.0;0.006
Set_32_234/p1.2.f;15.0;32;2;70.0;0.0089
Set_32_234/p1.2.g;17.5;32;2;75.0;0.0108
Set_32_234/p1.2.h;20.0;32;2;85.0;0.0116
Set_32_234/p1.2.i;23.0;32;2;120.0;0.0124
Set_32_234/p1.2.j;25.0;32;2;115.0;0.0142
Set_32_234/p1.2.k;27.5;32;2;160.0;0.016
Set_32_234/p1.2.l;30.0;32;2;175.0;0.0166
Set_32_234/p1.2.m;32.5;32;2;200.0;0.0271
Set_32_234/p1.2.n;35.0;32;2;230.0;0.0249
Set_32_234/p1.2.o;36.5;32;2;240.0;0.0217
Set_32_234/p1.2.p;37.5;32;2;240.0;0.0243
Set_32_234/p1.2.q;40.0;32;2;245.0;0.023
Set_32_234/p1.2.r;42.5;32;2;275.0;0.0281
Set_32_234/p1.3.c;5.0;32;3;15.0;0.0021
Set_32_234/p1.3.d;6.7;32;3;15.0;0.0011
Set_32_234/p1.3.e;8.3;32;3;30.0;0.001
Set_32_234/p1.3.f;10.0;32;3;40.0;0.0021
Set_32_234/p1.3.g;11.7;32;3;50.0;0.0037
Set_32_234/p1.3.h;13.3;32;3;70.0;0.006
Set_32_234/p1.3.i;15.3;32;3;95.0;0.0081
Set_32_234/p1.3.j;16.7;32;3;95.0;0.0134
Set_32_234/p1.3.k;18.3;32;3;115.0;0.0141
Set_32_234/p1.3.l;20.0;32;3;120.0;0.014
Set_32_234/p1.3.m;21.7;32;3;130.0;0.013
Set_32_234/p1.3.n;23.3;32;3;175.0;0.0141
Set_32_234/p1.3.o;24.3;32;3;195.0;0.0147
Set_32_234/p1.3.p;25.0;32;3;170.0;0.015
Set_32_234/p1.3.q;26.7;32;3;205.0;0.016
Set_32_234/p1.3.r;28.3;32;3;215.0;0.016
Set_32_234/p1.4.d;5.0;32;4;15.0;0.004
Set_32_234/p1.4.e;6.2;32;4;15.0;0.0029
Set_32_234/p1.4.f;7.5;32;4;25.0;0.003
Set_32_234/p1.4.g;8.8;32;4;35.0;0.003
Set_32_234/p1.4.h;10.0;32;4;45.0;0.003
Set_32_234/p1.4.i;11.5;32;4;60.0;0.0059
Set_32_234/p1.4.j;12.5;32;4;70.0;0.008
Set_32_234/p1.4.k;13.8;32;4;95.0;0.008
Set_32_234/p1.4.l;15.0;32;4;120.0;0.006
Set_32_234/p1.4.m;16.2;32;4;110.0;0.013
Set_32_234/p1.4.n;17.5;32;4;135.0;0.0101
Set_32_234/p1.4.o;18.2;32;4;145.0;0.01
Set_32_234/p1.4.p;18.8;32;4;160.0;0.0111
Set_32_234/p1.4.q;20.0;32;4;155.0;0.014
Set_32_234/p1.4.r;21.2;32;4;160.0;0.0175
Set_21_234/p2.2.a;7.5;21;2;80.0;0.002
Set_21_234/p2.2.b;10.0;21;2;120.0;0.002
Set_21_234/p2.2.c;11.5;21;2;110.0;0.003
Set_21_234/p2.2.d;12.5;21;2;115.0;0.0041
Set_21_234/p2.2.e;13.5;21;2;190.0;0.004
Set_21_234/p2.2.f;15.0;21;2;200.0;0.0044
Set_21_234/p2.2.g;16.0;21;2;200.0;0.0056
Set_21_234/p2.2.h;17.5;21;2;180.0;0.0044
Set_21_234/p2.2.i;19.0;21;2;230.0;0.0087
